FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y
49,2024-08-09T16:59:22.7029243+03:30,-29,-19,101,24,20,-4,-26,95,-0.317603081,0.292829961,1.9371,0.350510448,-0.230759025,2.43574381,-0.30490908,0.242031753,2.15854859,0.2337585,-0.02923308,2.51782274,-0.222787619,0.224790141,2.3827827,0.112601012,0.214581043,2.4965,0,0,0,0,0,0,0,0,0,0,0,0,225.21368408203125,347.5307922363281,160.54336547851562,337.0811462402344
50,2024-08-09T16:59:22.7354718+03:30,-27,-19,101,24,20,-4,-26,95,-0.317522347,0.290869564,1.93521464,0.3476681,-0.233892217,2.43814325,-0.3046883,0.241176158,2.15875316,0.231765866,-0.0310518369,2.518935,-0.222487211,0.2247441,2.38280964,0.112465158,0.214546472,2.49708319,0,0,0,0,0,0,0,0,0,0,0,0,225.18544006347656,347.18402099609375,160.40829467773438,337.0992736816406
51,2024-08-09T16:59:22.7668326+03:30,-26,-19,102,24,20,-4,-25,95,-0.317495465,0.288853049,1.93203247,0.344837,-0.236847788,2.44039941,-0.304360479,0.240387231,2.15891719,0.229837626,-0.0327817649,2.51996255,-0.222211555,0.224716619,2.38285446,0.112289026,0.214556679,2.497622,0,0,0,0,0,0,0,0,0,0,0,0,225.0814971923828,347.4979248046875,160.3624267578125,337.0550537109375
52,2024-08-09T16:59:22.8026717+03:30,-25,-18,102,23,20,-4,-25,95,-0.317319781,0.286676764,1.9296279,0.3415615,-0.239239886,2.4428916,-0.304002851,0.239628658,2.15908647,0.227971748,-0.03440433,2.52091265,-0.2219613,0.22472395,2.38293314,0.112081721,0.214603424,2.49811864,0,0,0,0,0,0,0,0,0,0,0,0,224.98602294921875,347.328125,160.36366271972656,337.09832763671875
53,2024-08-09T16:59:22.8324842+03:30,-23,-18,103,23,20,-4,-24,95,-0.317567229,0.283931017,1.92826569,0.338283658,-0.241548538,2.44507146,-0.303713381,0.238811269,2.159293,0.226147443,-0.03592408,2.52178,-0.221741542,0.224758551,2.38304,0.1118461,0.214669988,2.49856,0,0,0,0,0,0,0,0,0,0,0,0,225.13632202148438,347.20166015625,160.40313720703125,337.0701904296875
54,2024-08-09T16:59:22.8649407+03:30,-25,-18,102,23,20,-3,-24,95,-0.317721158,0.281311333,1.92659473,0.335087538,-0.243831158,2.447192,-0.303303063,0.237993866,2.1594305,0.22432071,-0.0373752378,2.522541,-0.221550211,0.224805415,2.383163,0.111583143,0.2147337,2.49893332,0,0,0,0,0,0,0,0,0,0,0,0,225.08724975585938,347.2798767089844,160.50192260742188,337.0724182128906
55,2024-08-09T16:59:22.9026586+03:30,-23,-18,101,22,20,-3,-24,95,-0.318485379,0.278079331,1.9248569,0.332000971,-0.246030673,2.4491,-0.3029475,0.237248883,2.158611,0.222504467,-0.0387647673,2.52319169,-0.221385688,0.224857509,2.38329744,0.111299023,0.214787915,2.49924636,0,0,0,0,0,0,0,0,0,0,0,0,224.98114013671875,347.82379150390625,160.21539306640625,337.1086120605469
56,2024-08-09T16:59:22.9338634+03:30,-22,-17,103,22,20,-3,-23,95,-0.319443434,0.27493605,1.923025,0.3290513,-0.248135254,2.451039,-0.3026402,0.236560568,2.157123,0.220694259,-0.0401003323,2.52375865,-0.221258,0.224905446,2.38344431,0.11099308,0.2148228,2.49949527,0,0,0,0,0,0,0,0,0,0,0,0,225.14321899414062,347.4726867675781,160.30441284179688,337.03924560546875
57,2024-08-09T16:59:22.9690830+03:30,-20,-17,103,22,20,-3,-23,95,-0.320501059,0.2719354,1.92117345,0.32620886,-0.250092924,2.4529283,-0.302373946,0.235921159,2.15523076,0.218910545,-0.0413789675,2.52425075,-0.221162677,0.22494337,2.38360262,0.110679194,0.2148433,2.499694,0,0,0,0,0,0,0,0,0,0,0,0,225.12445068359375,347.40631103515625,160.384033203125,337.21392822265625
58,2024-08-09T16:59:23.0043866+03:30,-20,-15,104,23,19,-3,-22,96,-0.321564,0.269126981,1.91951466,0.323464781,-0.251918375,2.45481062,-0.3021092,0.23528105,2.15327668,0.217178315,-0.0425946563,2.52466464,-0.221098676,0.22497268,2.38377357,0.110365964,0.2148567,2.49985957,0,0,0,0,0,0,0,0,0,0,0,0,225.056884765625,347.90289306640625,160.32266235351562,337.0750732421875
