FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY
48,2024-08-09T17:00:15.1743558+03:30,17,-14,-46,4,24,1,-24,96,-0.3340086,0.199990436,1.87326634,0.376827985,-0.2713818,2.57408071,-0.2752942,0.225923076,2.17573738,0.273869365,-0.0137048606,2.53448033,-0.174096644,0.231948331,2.40738034,0.166105166,0.22809644,2.50878835,0,0,0,0,0,0,0,0,0,0,0,0
49,2024-08-09T17:00:15.2088622+03:30,15,-13,-45,4,24,2,-24,96,-0.335077971,0.19453989,1.87314761,0.3772306,-0.272657275,2.57456923,-0.275693119,0.223162055,2.17618036,0.274514139,-0.014273637,2.534979,-0.174177811,0.231543466,2.40716481,0.166046023,0.228004247,2.50861025,0,0,0,0,0,0,0,0,0,0,0,0
50,2024-08-09T17:00:15.2436194+03:30,13,-13,-45,4,24,3,-24,96,-0.335971057,0.189035073,1.87314594,0.377003431,-0.2736887,2.57617188,-0.276088774,0.220358834,2.17665339,0.274951547,-0.014270802,2.53545618,-0.174277261,0.231128976,2.406976,0.166003376,0.227941766,2.508485,0,0,0,0,0,0,0,0,0,0,0,0
51,2024-08-09T17:00:15.2768844+03:30,15,-13,-32,3,24,3,-24,97,-0.3366904,0.183469743,1.87325025,0.3770785,-0.274665,2.577106,-0.2764828,0.217549,2.17714763,0.275933683,-0.0149532938,2.536097,-0.17438747,0.230710045,2.40681052,0.1659758,0.227899045,2.50839853,0,0,0,0,0,0,0,0,0,0,0,0
52,2024-08-09T17:00:15.3086116+03:30,13,-13,-31,4,24,4,-24,97,-0.3372204,0.17783761,1.873469,0.377206951,-0.275084138,2.57781672,-0.276930183,0.214719236,2.17769527,0.277240455,-0.0161058977,2.53682351,-0.174511015,0.230289623,2.40666986,0.165932328,0.2278146,2.50827742,0,0,0,0,0,0,0,0,0,0,0,0
53,2024-08-09T17:00:15.3405017+03:30,15,-13,-24,5,24,4,-25,97,-0.3374871,0.172059134,1.87378943,0.377347857,-0.275530964,2.578728,-0.277393073,0.211940676,2.178255,0.278734952,-0.0175434146,2.537593,-0.1746449,0.229874447,2.40654755,0.165904626,0.22772561,2.50820112,0,0,0,0,0,0,0,0,0,0,0,0
54,2024-08-09T17:00:15.3723367+03:30,13,-13,-24,5,24,5,-25,97,-0.337553322,0.1662436,1.87419426,0.377288461,-0.277280629,2.58029771,-0.2778962,0.209220186,2.17883468,0.280264765,-0.01915131,2.538405,-0.174790055,0.229468182,2.406439,0.165898532,0.227644026,2.50817013,0,0,0,0,0,0,0,0,0,0,0,0
55,2024-08-09T17:00:15.4082761+03:30,11,-13,-26,6,24,6,-25,97,-0.337507844,0.160253644,1.87474024,0.376548082,-0.2777088,2.5827868,-0.278445244,0.20649676,2.1794548,0.2817825,-0.0208299663,2.53920245,-0.174956009,0.229079112,2.40634871,0.16589427,0.227561384,2.5081408,0,0,0,0,0,0,0,0,0,0,0,0
56,2024-08-09T17:00:15.4436754+03:30,13,-15,-29,6,25,6,-25,97,-0.3373889,0.154012054,1.87546432,0.375385046,-0.277276427,2.5858283,-0.279058784,0.20370084,2.18014479,0.283260047,-0.02250344,2.54003334,-0.175141335,0.22870943,2.4062717,0.165899679,0.2274764,2.50811958,0,0,0,0,0,0,0,0,0,0,0,0
57,2024-08-09T17:00:15.4755284+03:30,12,-15,-28,6,25,7,-25,97,-0.337104976,0.1474021,1.87638712,0.3754071,-0.276091158,2.58572817,-0.2797143,0.200893924,2.18086672,0.284665346,-0.0241515618,2.54084373,-0.175345942,0.228347689,2.4062,0.165878966,0.227347612,2.50803828,0,0,0,0,0,0,0,0,0,0,0,0
58,2024-08-09T17:00:15.5083178+03:30,10,-15,-19,6,25,8,-25,98,-0.3367361,0.140458658,1.87747109,0.3755316,-0.275575727,2.58594632,-0.280364424,0.198031947,2.18158484,0.2859928,-0.0257497728,2.541621,-0.175579354,0.227982566,2.406118,0.165865153,0.227204561,2.507965,0,0,0,0,0,0,0,0,0,0,0,0
59,2024-08-09T17:00:15.5434485+03:30,13,-15,-19,6,25,8,-25,98,-0.336345822,0.13313143,1.87874639,0.375733167,-0.2756579,2.58646536,-0.280998945,0.194957286,2.18235469,0.287227571,-0.0272723213,2.542403,-0.175834864,0.227617308,2.40602088,0.165864989,0.227056861,2.50790977,0,0,0,0,0,0,0,0,0,0,0,0
60,2024-08-09T17:00:15.5765705+03:30,12,-15,-19,6,25,9,-25,98,-0.336082846,0.125551462,1.88014042,0.3758923,-0.277218163,2.58738685,-0.281553417,0.191497847,2.18318987,0.288379967,-0.028707426,2.54314685,-0.176126257,0.227235392,2.40589213,0.165886879,0.226924658,2.507903,0,0,0,0,0,0,0,0,0,0,0,0
61,2024-08-09T17:00:15.6107173+03:30,11,-15,-18,6,25,10,-25,98,-0.3359123,0.117616795,1.88170838,0.37618047,-0.279746562,2.58807087,-0.2820412,0.187699988,2.18409157,0.2894457,-0.03005345,2.543806,-0.176448226,0.226831064,2.40572739,0.165928215,0.226818413,2.50794339,0,0,0,0,0,0,0,0,0,0,0,0
62,2024-08-09T17:00:15.6423731+03:30,11,-15,-14,8,25,11,-26,98,-0.3357148,0.1094883,1.88432169,0.376785964,-0.282821149,2.588365,-0.2824911,0.183597326,2.18508339,0.29043746,-0.0312911868,2.54436755,-0.176799536,0.2264068,2.405529,0.1659824,0.226755276,2.50804067,0,0,0,0,0,0,0,0,0,0,0,0
63,2024-08-09T17:00:15.6788360+03:30,10,-16,-14,8,25,12,-26,98,-0.3356896,0.101157695,1.88689637,0.3769912,-0.285195,2.5894165,-0.2829156,0.179329127,2.18614149,0.291347444,-0.0324354321,2.5448668,-0.17716831,0.225973174,2.40531015,0.166057527,0.226725385,2.5081985,0,0,0,0,0,0,0,0,0,0,0,0
64,2024-08-09T17:00:15.7104060+03:30,9,-16,-12,8,25,13,-26,98,-0.335654855,0.09351385,1.8911283,0.378017783,-0.286281168,2.58822846,-0.283358455,0.175045192,2.18723178,0.292199045,-0.03346496,2.54537916,-0.177555278,0.225533336,2.405079,0.166144878,0.226717472,2.50839067,0,0,0,0,0,0,0,0,0,0,0,0
65,2024-08-09T17:00:15.7468218+03:30,8,-15,-9,8,25,14,-26,98,-0.3358157,0.08557168,1.89494276,0.378878683,-0.2873159,2.58705139,-0.283818483,0.170840591,2.18831515,0.2929642,-0.034396302,2.54592347,-0.177954048,0.225087613,2.40483832,0.16623807,0.2267266,2.50860524,0,0,0,0,0,0,0,0,0,0,0,0
66,2024-08-09T17:00:15.7793531+03:30,8,-15,-4,7,25,15,-26,98,-0.335966557,0.07772865,1.89913976,0.380212724,-0.28698957,2.58429718,-0.284259945,0.166663334,2.189405,0.293660372,-0.0352384,2.546462,-0.178358033,0.224630848,2.40458775,0.166335523,0.226751879,2.50883842,0,0,0,0,0,0,0,0,0,0,0,0
67,2024-08-09T17:00:15.8162366+03:30,7,-15,2,7,25,16,-26,98,-0.336123943,0.07014829,1.90361369,0.3816679,-0.2865734,2.58141851,-0.284683019,0.1623936,2.19058347,0.294199169,-0.03605474,2.54707527,-0.1787693,0.224161476,2.40433168,0.166364759,0.226679608,2.50891638,0,0,0,0,0,0,0,0,0,0,0,0
68,2024-08-09T17:00:15.8477099+03:30,6,-15,5,7,25,17,-26,98,-0.3362271,0.06303078,1.90921235,0.3826083,-0.287499368,2.58029628,-0.2851003,0.158093229,2.19184136,0.294561446,-0.0368115157,2.54777145,-0.179191932,0.223693117,2.40407944,0.166335285,0.226570085,2.50886941,0,0,0,0,0,0,0,0,0,0,0,0
