FrameNumber,Timestamp,LeftElbowYaw,LeftElbowRoll,RightElbowYaw,RightElbowRoll,LeftShoulderRoll,LeftShoulderPitch,RightShoulderRoll,RightShoulderPitch,LeftWristX,LeftWristY,LeftWristZ,RightWristX,RightWristY,RightWristZ,LeftElbowX,LeftElbowY,LeftElbowZ,RightElbowX,RightElbowY,RightElbowZ,LeftShoulderX,LeftShoulderY,LeftShoulderZ,RightShoulderX,RightShoulderY,RightShoulderZ,LeftWristColorX,LeftWristColorY,RightWristColorX,RightWristColorY,LeftElbowColorX,LeftElbowColorY,RightElbowColorX,RightElbowColorY,LeftShoulderColorX,LeftShoulderColorY,RightShoulderColorX,RightShoulderColorY,origin_x,origin_y,goal_x,goal_y,origin_z,goal_z,is_grasped
41,2024-08-09T16:56:34.7552474+03:30,-9,-13,105,14,18,-11,-21,99,-0.342990935,0.329253078,1.91976368,0.277165085,-0.2727871,2.48155022,-0.3238833,0.2778977,2.14109373,0.172449946,-0.0393586345,2.50680184,-0.250938267,0.236144289,2.363051,0.07197109,0.220304087,2.46767449,0,0,0,0,0,0,0,0,0,0,0,0,221.3801422119141,346.420654296875,154.8505401611328,336.9223022460937,1.5877155335382958,1.519255266615016,-1
42,2024-08-09T16:56:34.7874073+03:30,-11,-13,105,14,18,-10,-21,99,-0.344556153,0.32428205,1.91858327,0.2769794,-0.272623658,2.48191166,-0.32487303,0.2750504,2.14021087,0.1723932,-0.0396515056,2.50672531,-0.251128823,0.236019447,2.36314631,0.07202348,0.220113188,2.46749878,0,0,0,0,0,0,0,0,0,0,0,0,221.11639404296875,346.62908935546875,154.6994171142578,336.8390197753906,1.587871618327943,1.5192479837764905,-1
43,2024-08-09T16:56:34.8185912+03:30,-13,-13,105,14,18,-9,-21,99,-0.346202075,0.319375038,1.91716623,0.276873082,-0.272554129,2.48214531,-0.3258665,0.2721781,2.138966,0.172354817,-0.0399435237,2.50662613,-0.251311451,0.235893384,2.363249,0.07207701,0.219928324,2.46733236,0,0,0,0,0,0,0,0,0,0,0,0,221.44354248046875,346.8970947265625,154.80877685546875,336.8954467773437,1.588007134315078,1.5192416606680432,-1
44,2024-08-09T16:56:34.8525173+03:30,-15,-13,105,14,18,-8,-21,99,-0.347758621,0.3142623,1.91364431,0.276824176,-0.272609472,2.48223615,-0.3268383,0.269358337,2.13751483,0.172330633,-0.04024062,2.50651383,-0.2514824,0.235761672,2.36335778,0.0721212551,0.2197352,2.46715355,0,0,0,0,0,0,0,0,0,0,0,0,221.30731201171875,346.7182312011719,154.62481689453125,336.9603881835937,1.5869651669733955,1.5192361708086577,-1
45,2024-08-09T16:56:34.8866647+03:30,-12,-13,105,14,18,-8,-21,99,-0.349198639,0.309070557,1.908969,0.276786745,-0.272847474,2.482235,-0.327799231,0.2665378,2.13611817,0.172318041,-0.0405418649,2.50638843,-0.251658,0.235606745,2.36348152,0.07215718,0.219537616,2.466966,0,0,0,0,0,0,0,0,0,0,0,0,221.0948028564453,346.4267578125,154.80738830566406,336.8725891113281,1.5872201302125748,1.5192314043888102,-1
46,2024-08-09T16:56:34.9177865+03:30,-13,-13,105,14,18,-7,-21,99,-0.35059014,0.3038083,1.90366983,0.276748985,-0.273216337,2.48215079,-0.328726321,0.263756245,2.13481259,0.172302574,-0.0408419967,2.50628138,-0.2518468,0.235427693,2.36362982,0.0721863359,0.219341233,2.46677613,0,0,0,0,0,0,0,0,0,0,0,0,221.28857421875,346.69140625,154.75914001464844,336.8916015625,1.5874414952380045,1.5192272660720314,-1
47,2024-08-09T16:56:34.9534968+03:30,-13,-14,105,14,19,-6,-21,99,-0.351883262,0.29842332,1.89800191,0.2766823,-0.273581,2.48204541,-0.3296552,0.261004031,2.13352227,0.172290966,-0.0411422551,2.506202,-0.252045065,0.235229552,2.36379266,0.07223642,0.219161749,2.46662879,0,0,0,0,0,0,0,0,0,0,0,0,221.41259765625,346.5010986328125,155.02671813964844,336.86932373046875,1.587633689632828,1.5180640535101877,-1
48,2024-08-09T16:56:34.9856107+03:30,-9,-14,105,14,19,-6,-21,99,-0.352839857,0.2925632,1.8929733,0.276602924,-0.273956716,2.481926,-0.330486447,0.257965773,2.13302541,0.172280684,-0.0414335467,2.50616169,-0.252263546,0.235005915,2.36397171,0.07229906,0.218997046,2.46651125,0,0,0,0,0,0,0,0,0,0,0,0,221.2298583984375,346.63397216796875,154.4156494140625,337.0023803710937,1.5878005574699217,1.51821374266912,-1
49,2024-08-09T16:56:35.0233326+03:30,-10,-14,105,14,19,-5,-21,99,-0.353529245,0.286424756,1.88852322,0.276528,-0.274386644,2.481863,-0.331264645,0.254704535,2.13309646,0.172271565,-0.04172073,2.50615072,-0.25247243,0.234747931,2.36415863,0.07237183,0.218839481,2.466417,0,0,0,0,0,0,0,0,0,0,0,0,221.2044677734375,346.8870849609375,154.58676147460938,336.96221923828125,1.5879454362270924,1.5183437064757217,-1
50,2024-08-09T16:56:35.0542286+03:30,-10,-14,105,14,19,-4,-21,99,-0.35399,0.280040175,1.884572,0.2764755,-0.274842441,2.48183274,-0.331994474,0.251359165,2.13354015,0.172263175,-0.0420010239,2.50615978,-0.252689421,0.2344594,2.3643508,0.07245098,0.2186889,2.46634054,0,0,0,0,0,0,0,0,0,0,0,0,221.2843017578125,346.670654296875,154.99853515625,336.85076904296875,1.5880712235587184,1.5184565442772018,-1
